#Subj:	11188
#Run:	1
#Age:	30
#Gender:	male
#28-Jun-2013
Func	Run	Trial	Block	Null	trialStartTime	Mag	ScoreInc	Freq	EV	RT	Emotion	Image
DEV	1	59	2	0	5.479965e+02	84	0	4.421295e-01	3.701409e+01	2198	happy	happy_15.png
DEV	1	60	2	0	5.548545e+02	79	0	4.338895e-01	3.425398e+01	2265	happy	happy_20.png
DEV	1	61	2	0	5.610923e+02	77	77	5.256639e-01	4.021879e+01	1624	happy	happy_3.png
DEV	1	62	2	0	5.678515e+02	75	75	5.188715e-01	3.875209e+01	1665	happy	happy_19.png
DEV	1	63	2	0	5.749048e+02	75	75	5.208457e-01	3.887304e+01	1653	happy	happy_18.png
DEV	1	64	2	0	5.822619e+02	77	77	5.195283e-01	3.983141e+01	1661	happy	happy_2.png
DEV	1	65	2	0	5.879408e+02	82	0	5.185435e-01	4.236179e+01	1667	happy	happy_17.png
DEV	1	66	2	0	5.945660e+02	78	78	4.982072e-01	3.896998e+01	1795	happy	happy_7.png
DEV	1	67	2	0	6.026629e+02	82	0	3.005825e-01	2.464366e+01	3741	happy	happy_3.png
DEV	1	68	2	0	6.105089e+02	82	82	3.396993e-01	2.778120e+01	3237	happy	happy_18.png
DEV	1	69	2	0	6.172398e+02	86	0	3.438960e-01	2.945428e+01	3185	happy	happy_10.png
DEV	1	70	2	0	6.243544e+02	80	0	3.447909e-01	2.745240e+01	3174	happy	happy_20.png
DEV	1	71	2	0	6.313213e+02	74	74	5.167456e-01	3.810490e+01	1678	happy	happy_19.png
DEV	1	72	2	0	6.380825e+02	82	0	5.188715e-01	4.238419e+01	1665	happy	happy_11.png
DEV	1	73	2	0	6.440075e+02	76	76	6.050985e-01	4.626854e+01	1194	happy	happy_16.png
DEV	1	74	2	0	6.518111e+02	78	78	3.819181e-01	2.996579e+01	2750	happy	happy_13.png
DEV	1	75	2	0	6.598009e+02	86	86	3.173279e-01	2.744348e+01	3523	happy	happy_5.png
DEV	1	76	2	0	6.658383e+02	67	67	7.351296e-01	4.912953e+01	617	happy	happy_15.png
DEV	1	77	2	0	6.723192e+02	78	0	5.461403e-01	4.259066e+01	1505	happy	happy_12.png
DEV	1	78	2	0	6.794970e+02	80	80	4.551079e-01	3.657385e+01	2097	happy	happy_1.png
DEV	1	79	2	0	6.872610e+02	82	82	3.533909e-01	2.910114e+01	3070	happy	happy_8.png
DEV	1	80	2	0	6.942883e+02	81	81	4.689250e-01	3.797896e+01	1995	happy	happy_21.png
DEV	1	81	2	0	7.022585e+02	84	84	3.524684e-01	2.974038e+01	3081	happy	happy_9.png
DEV	1	82	2	0	7.089043e+02	78	0	4.638284e-01	3.623794e+01	2032	happy	happy_4.png
DEV	1	83	2	0	7.152852e+02	78	78	6.240586e-01	4.865568e+01	1102	happy	happy_14.png
DEV	1	84	2	0	7.224573e+02	85	0	4.089721e-01	3.462185e+01	2483	happy	happy_6.png
IEV	1	85	3	0	7.931688e+02	23	23	8.701336e-01	2.003832e+01	974	fear	fear_4.png
IEV	1	86	3	0	7.997264e+02	76	76	5.728915e-01	4.367081e+01	3053	fear	fear_12.png
IEV	1	87	3	0	8.063965e+02	31	31	8.267689e-01	2.526828e+01	1478	fear	fear_17.png
IEV	1	88	3	0	8.139171e+02	61	0	6.664890e-01	4.055327e+01	2567	fear	fear_5.png
IEV	1	89	3	0	8.205849e+02	25	25	8.631770e-01	2.184689e+01	1074	fear	fear_13.png
IEV	1	90	3	0	8.268068e+02	44	44	7.631210e-01	3.357406e+01	1981	fear	fear_19.png
IEV	1	91	3	0	8.322565e+02	18	0	8.878044e-01	1.641472e+01	637	fear	fear_8.png
IEV	1	92	3	0	8.402236e+02	82	82	5.694663e-01	4.670946e+01	3070	fear	fear_11.png
IEV	1	93	3	0	8.471788e+02	78	0	5.742995e-01	4.474037e+01	3046	fear	fear_14.png
IEV	1	94	3	0	8.541596e+02	53	53	6.789285e-01	3.567177e+01	2498	fear	fear_16.png
IEV	1	95	3	0	8.601478e+02	31	31	8.232052e-01	2.564493e+01	1511	fear	fear_2.png
IEV	1	96	3	0	8.677784e+02	111	111	4.610587e-01	5.110613e+01	3595	fear	fear_9.png
IEV	1	97	3	0	8.758545e+02	98	98	4.834055e-01	4.728225e+01	3488	fear	fear_18.png
IEV	1	98	3	0	8.827078e+02	95	95	4.932026e-01	4.680261e+01	3441	fear	fear_1.png
IEV	1	99	3	0	8.907128e+02	102	0	4.717150e-01	4.831349e+01	3544	fear	fear_3.png
IEV	1	100	3	0	8.985591e+02	96	96	4.963257e-01	4.764030e+01	3426	fear	fear_20.png
IEV	1	101	3	0	9.057768e+02	98	0	5.081730e-01	4.960783e+01	3369	fear	fear_21.png
IEV	1	102	3	0	9.128129e+02	84	84	5.420102e-01	4.534815e+01	3205	fear	fear_6.png
IEV	1	103	3	0	9.201601e+02	84	84	5.374978e-01	4.504694e+01	3227	fear	fear_7.png
IEV	1	104	3	0	9.278391e+02	90	90	5.247329e-01	4.729046e+01	3289	fear	fear_15.png
IEV	1	105	3	0	9.344035e+02	89	0	5.309179e-01	4.698689e+01	3259	fear	fear_10.png
IEV	1	106	3	0	9.427658e+02	84	84	5.315355e-01	4.483021e+01	3256	fear	fear_16.png
IEV	1	107	3	0	9.507352e+02	86	86	5.286518e-01	4.551263e+01	3270	fear	fear_3.png
IEV	1	108	3	0	9.578196e+02	89	89	5.224614e-01	4.635600e+01	3300	fear	fear_19.png
IEV	1	109	3	0	9.656894e+02	84	84	5.284457e-01	4.446649e+01	3271	fear	fear_1.png
IEV	1	110	3	0	9.730081e+02	97	97	5.083805e-01	4.909031e+01	3368	fear	fear_20.png
IEV	1	111	3	0	9.811308e+02	98	0	5.069276e-01	4.966256e+01	3375	fear	fear_13.png
IEV	1	112	3	0	9.886730e+02	85	0	5.403704e-01	4.597464e+01	3213	fear	fear_15.png
IEV	1	113	3	0	9.944514e+02	21	21	8.628079e-01	1.844394e+01	1079	fear	fear_5.png
IEV	1	114	3	0	1.001788e+03	90	0	5.426248e-01	4.857154e+01	3202	fear	fear_7.png
IEV	1	115	3	0	1.009994e+03	91	91	5.177060e-01	4.711271e+01	3323	fear	fear_6.png
IEV	1	116	3	0	1.017523e+03	95	0	5.048510e-01	4.773405e+01	3385	fear	fear_18.png
IEV	1	117	3	0	1.025348e+03	95	95	5.092105e-01	4.854369e+01	3364	fear	fear_2.png
IEV	1	118	3	0	1.032270e+03	93	0	5.075503e-01	4.709746e+01	3372	fear	fear_21.png
IEV	1	119	3	0	1.040060e+03	85	0	5.212216e-01	4.433366e+01	3306	fear	fear_4.png
IEV	1	120	3	0	1.046727e+03	92	0	5.303001e-01	4.860830e+01	3262	fear	fear_14.png
IEV	1	121	3	0	1.053894e+03	26	26	8.287806e-01	2.173782e+01	1459	fear	fear_10.png
IEV	1	122	3	0	1.062010e+03	63	0	6.314141e-01	3.955527e+01	2755	fear	fear_8.png
IEV	1	123	3	0	1.069241e+03	80	0	5.454904e-01	4.352792e+01	3188	fear	fear_12.png
IEV	1	124	3	0	1.076688e+03	93	0	4.979905e-01	4.606664e+01	3418	fear	fear_11.png
IEV	1	125	3	0	1.084433e+03	124	0	4.157654e-01	5.157752e+01	3812	fear	fear_9.png
IEV	1	126	3	0	1.092119e+03	57	0	6.792853e-01	3.904253e+01	2496	fear	fear_17.png
CEVR	1	127	4	0	1.163170e+03	91	91	4.273927e-01	3.870957e+01	3270	scram	scram_11.png
CEVR	1	128	4	0	1.169345e+03	151	151	2.477521e-01	3.749550e+01	1073	scram	scram_2.png
CEVR	1	129	4	0	1.175544e+03	143	0	2.500000e-01	3.575000e+01	1120	scram	scram_4.png
CEVR	1	130	4	0	1.182399e+03	122	0	3.033497e-01	37	2031	scram	scram_9.png
CEVR	1	131	4	0	1.188583e+03	153	0	2.486559e-01	3.799462e+01	1092	scram	scram_19.png
CEVR	1	132	4	0	1.195103e+03	159	0	2.337967e-01	3.723380e+01	761	scram	scram_5.png
CEVR	1	133	4	0	1.202085e+03	95	0	4.029247e-01	3.820877e+01	3086	scram	scram_21.png
CEVR	1	134	4	0	1.209126e+03	80	80	4.470142e-01	3.565896e+01	3403	scram	scram_3.png
CEVR	1	135	4	0	1.216075e+03	86	86	4.496528e-01	3.879861e+01	3420	scram	scram_14.png
CEVR	1	136	4	0	1.223418e+03	83	83	4.474775e-01	3.700000e+01	3406	scram	scram_17.png
CEVR	1	137	4	0	1.231674e+03	87	0	4.512195e-01	3.925610e+01	3430	scram	scram_12.png
CEVR	1	138	4	0	1.239508e+03	95	0	3.908844e-01	37	2987	scram	scram_20.png
CEVR	1	139	4	0	1.247488e+03	77	0	4.592199e-01	3.516312e+01	3480	scram	scram_13.png
CEVR	1	140	4	0	1.253924e+03	130	130	2.750053e-01	3.562497e+01	1591	scram	scram_8.png
CEVR	1	141	4	0	1.260539e+03	96	96	3.857611e-01	37	2943	scram	scram_18.png
CEVR	1	142	4	0	1.268181e+03	103	0	3.702115e-01	3.811063e+01	2802	scram	scram_10.png
CEVR	1	143	4	0	1.275254e+03	140	140	2.677279e-01	3.753546e+01	1463	scram	scram_15.png
CEVR	1	144	4	0	1.281817e+03	141	0	2.666804e-01	3.753336e+01	1444	scram	scram_16.png
CEVR	1	145	4	0	1.288240e+03	141	0	2.729764e-01	3.836488e+01	1556	scram	scram_1.png
CEVR	1	146	4	0	1.295052e+03	145	0	2.610887e-01	3.778327e+01	1340	scram	scram_7.png
CEVR	1	147	4	0	1.302533e+03	80	0	4.588944e-01	3.654111e+01	3478	scram	scram_6.png
CEVR	1	148	4	0	1.309942e+03	109	109	3.265255e-01	3.569390e+01	2334	scram	scram_16.png
CEVR	1	149	4	0	1.317634e+03	111	0	3.237500e-01	3.602875e+01	2300	scram	scram_15.png
CEVR	1	150	4	0	1.324682e+03	114	0	3.329049e-01	3.799871e+01	2410	scram	scram_8.png
CEVR	1	151	4	0	1.331222e+03	136	0	2.640701e-01	3.594372e+01	1396	scram	scram_4.png
CEVR	1	152	4	0	1.337949e+03	118	0	3.130288e-01	37	2163	scram	scram_1.png
CEVR	1	153	4	0	1.344479e+03	148	0	2.526336e-01	3.750527e+01	1174	scram	scram_5.png
