#Subj:	10717
#Run:	1
#Age:	14
#Gender:	female
#24-Apr-2013
Func	Run	Trial	Block	Null	trialStartTime	Mag	ScoreInc	Freq	EV	RT	Emotion	Image
CEV	   1	   1	  12	   0	1.260693e+02	  55	   0	7.021429e-01	3.840429e+01	1385	scram	scram_16.png	
CEV	   1	   2	  12	   0	1.335332e+02	  67	  67	5.694286e-01	3.813886e+01	2314	scram	scram_8.png	
CEV	   1	   3	  12	   0	1.412367e+02	  78	  78	4.860000e-01	3.797200e+01	2898	scram	scram_15.png	
CEV	   1	   4	  12	   0	1.479140e+02	  82	  82	4.631429e-01	3.792629e+01	3058	scram	scram_12.png	
CEV	   1	   5	  12	   0	1.563219e+02	  99	  99	3.662857e-01	3.626743e+01	3736	scram	scram_3.png	
CEV	   1	   6	  12	   0	1.640735e+02	  93	   0	3.820000e-01	3.547200e+01	3626	scram	scram_2.png	
CEV	   1	   7	  12	   0	1.702214e+02	  47	  47	8.161429e-01	3.863229e+01	 587	scram	scram_5.png	
CEV	   1	   8	  12	   0	1.770241e+02	  61	  61	6.561429e-01	4.028071e+01	1707	scram	scram_18.png	
CEV	   1	   9	  12	   0	1.839897e+02	  74	  74	4.964286e-01	3.650357e+01	2825	scram	scram_7.png	
CEV	   1	  10	  12	   0	1.916365e+02	  86	   0	4.435714e-01	3.833071e+01	3195	scram	scram_21.png	
CEV	   1	  11	  12	   0	1.993656e+02	  51	  51	6.840000e-01	3.494800e+01	1512	scram	scram_6.png	
CEV	   1	  12	  12	   0	2.062814e+02	  64	   0	5.667143e-01	3.643329e+01	2333	scram	scram_19.png	
CEV	   1	  13	  12	   0	2.124667e+02	  46	  46	8.337143e-01	3.866743e+01	 464	scram	scram_9.png	
CEV	   1	  14	  12	   0	2.189487e+02	  48	  48	7.467143e-01	3.550657e+01	1073	scram	scram_20.png	
CEV	   1	  15	  12	   0	2.247728e+02	  49	  49	7.904286e-01	3.858086e+01	 767	scram	scram_17.png	
CEV	   1	  16	  12	   0	2.320084e+02	  55	  55	6.270000e-01	3.449200e+01	1911	scram	scram_11.png	
CEV	   1	  17	  12	   0	2.381337e+02	  74	  74	5.361429e-01	3.968071e+01	2547	scram	scram_14.png	
CEV	   1	  18	  12	   0	2.449333e+02	  94	  94	4.000000e-01	3.740000e+01	3500	scram	scram_10.png	
CEV	   1	  19	  12	   0	2.528746e+02	  98	  98	3.895714e-01	3.816871e+01	3573	scram	scram_13.png	
CEV	   1	  20	  12	   0	2.615250e+02	 104	   0	3.570000e-01	  37	3801	scram	scram_1.png	
CEV	   1	  21	  12	   0	2.692226e+02	  97	   0	3.998571e-01	3.859943e+01	3501	scram	scram_4.png	
CEV	   1	  22	  12	   0	2.767103e+02	  85	  85	4.368571e-01	  37	3242	scram	scram_12.png	
CEV	   1	  23	  12	   0	2.841790e+02	  86	  86	4.098571e-01	3.536057e+01	3431	scram	scram_3.png	
CEV	   1	  24	  12	   0	2.938195e+02	  91	  91	4.205714e-01	3.826171e+01	3356	scram	scram_2.png	
CEV	   1	  25	  12	   0	3.020381e+02	  96	  96	3.975714e-01	3.819271e+01	3517	scram	scram_11.png	
CEV	   1	  26	  12	   0	3.089385e+02	  97	  97	3.988571e-01	3.859543e+01	3508	scram	scram_9.png	
CEV	   1	  27	  12	   0	3.163116e+02	  95	  95	3.791429e-01	3.586257e+01	3646	scram	scram_5.png	
