#Subj:	11180
#Run:	1
#Age:	26
#Gender:	female
#09-Jul-2013
Func	Run	Trial	Block	Null	trialStartTime	Mag	ScoreInc	Freq	EV	RT	Emotion	Image
CEV	1	1	1	0	4.095253e+01	46	46	8.344286e-01	3.866886e+01	459	fear	fear_10.png
CEV	1	2	1	0	4.763136e+01	50	50	7.692857e-01	3.853857e+01	915	fear	fear_4.png
CEV	1	3	1	0	5.347777e+01	53	53	7.240000e-01	3.844800e+01	1232	fear	fear_8.png
CEV	1	4	1	0	5.969185e+01	46	46	8.430000e-01	3.868600e+01	399	fear	fear_21.png
CEV	1	5	1	0	6.755093e+01	79	79	4.587143e-01	3.608257e+01	3089	fear	fear_1.png
CEV	1	6	1	0	7.324441e+01	40	40	8.490000e-01	3.360400e+01	357	fear	fear_6.png
CEV	1	7	1	0	7.952152e+01	61	61	6.251429e-01	3.825029e+01	1924	fear	fear_9.png
CEV	1	8	1	0	8.722437e+01	108	108	3.607143e-01	3.880357e+01	3775	fear	fear_11.png
CEV	1	9	1	0	9.454236e+01	111	0	3.305714e-01	3.666943e+01	3986	fear	fear_12.png
CEV	1	10	1	0	1.000702e+02	47	47	8.394286e-01	3.951829e+01	424	fear	fear_17.png
CEV	1	11	1	0	1.064985e+02	58	58	6.110000e-01	3.516700e+01	2023	fear	fear_15.png
CEV	1	12	1	0	1.126278e+02	48	48	7.534286e-01	3.624657e+01	1026	fear	fear_14.png
CEV	1	13	1	0	1.205964e+02	115	0	3.261429e-01	3.765229e+01	4017	fear	fear_5.png
CEV	1	14	1	0	1.262506e+02	46	46	7.750000e-01	3.545000e+01	875	fear	fear_7.png
CEV	1	15	1	0	1.327648e+02	55	55	7.007143e-01	3.840143e+01	1395	fear	fear_16.png
CEV	1	16	1	0	1.397257e+02	52	52	6.591429e-01	3.436343e+01	1686	fear	fear_18.png
CEV	1	17	1	0	1.457583e+02	66	66	6.098571e-01	4.004929e+01	2031	fear	fear_13.png
CEV	1	18	1	0	1.519893e+02	48	48	7.818571e-01	3.778186e+01	827	fear	fear_20.png
CEV	1	19	1	0	1.596450e+02	82	82	4.688571e-01	3.840657e+01	3018	fear	fear_19.png
CEV	1	20	1	0	1.669145e+02	100	0	3.708571e-01	37	3704	fear	fear_3.png
CEV	1	21	1	0	1.735217e+02	48	0	8.460000e-01	4.038400e+01	378	fear	fear_2.png
CEV	1	22	1	0	1.806122e+02	50	50	7.367143e-01	37	1143	fear	fear_3.png
CEV	1	23	1	0	1.873199e+02	43	43	7.900000e-01	3.384000e+01	770	fear	fear_12.png
CEV	1	24	1	0	1.956746e+02	83	83	4.612857e-01	3.838386e+01	3071	fear	fear_15.png
CEV	1	25	1	0	2.024439e+02	89	89	4.291429e-01	3.828743e+01	3296	fear	fear_18.png
CEV	1	26	1	0	2.099733e+02	101	101	3.827143e-01	3.853086e+01	3621	fear	fear_20.png
CEV	1	27	1	0	2.173692e+02	99	99	3.637143e-01	3.590886e+01	3754	fear	fear_14.png
CEV	1	28	1	0	2.234581e+02	49	49	7.662857e-01	3.776629e+01	936	fear	fear_1.png
CEV	1	29	1	0	2.293601e+02	46	0	7.907143e-01	3.620929e+01	765	fear	fear_7.png
CEV	1	30	1	0	2.358820e+02	61	61	6.142857e-01	3.761429e+01	2000	fear	fear_13.png
CEV	1	31	1	0	2.430993e+02	70	70	5.595714e-01	3.923829e+01	2383	fear	fear_6.png
CEV	1	32	1	0	2.491389e+02	49	49	8.088571e-01	3.942657e+01	638	fear	fear_19.png
CEV	1	33	1	0	2.546180e+02	49	49	7.404286e-01	3.625957e+01	1117	fear	fear_10.png
CEV	1	34	1	0	2.611855e+02	50	50	6.865714e-01	3.425371e+01	1494	fear	fear_2.png
CEV	1	35	1	0	2.687366e+02	98	0	3.770000e-01	37	3661	fear	fear_16.png
CEV	1	36	1	0	2.757135e+02	66	66	6.004286e-01	3.940171e+01	2097	fear	fear_17.png
CEV	1	37	1	0	2.825395e+02	64	64	5.847143e-01	3.758471e+01	2207	fear	fear_9.png
CEV	1	38	1	0	2.901898e+02	62	62	5.488571e-01	3.425571e+01	2458	fear	fear_4.png
CEV	1	39	1	0	2.963065e+02	41	41	8.444286e-01	3.446671e+01	389	fear	fear_21.png
CEV	1	40	1	0	3.026844e+02	48	48	7.422857e-01	3.551543e+01	1104	fear	fear_8.png
CEV	1	41	1	0	3.105387e+02	68	0	5.194286e-01	3.544171e+01	2664	fear	fear_11.png
CEV	1	42	1	0	3.187803e+02	77	0	4.660000e-01	3.606800e+01	3038	fear	fear_5.png
DEV	1	43	2	0	3.912480e+02	75	0	7.095523e-01	5.293133e+01	722	happy	happy_2.png
DEV	1	44	2	0	3.977956e+02	76	76	5.958783e-01	4.511063e+01	1240	happy	happy_5.png
DEV	1	45	2	0	4.042359e+02	73	0	5.970711e-01	4.339122e+01	1234	happy	happy_9.png
DEV	1	46	2	0	4.111347e+02	74	0	5.380899e-01	3.992159e+01	1551	happy	happy_1.png
DEV	1	47	2	0	4.180205e+02	79	0	4.549761e-01	3.610990e+01	2098	happy	happy_11.png
DEV	1	48	2	0	4.239297e+02	66	66	7.978216e-01	5.247497e+01	372	happy	happy_13.png
DEV	1	49	2	0	4.296941e+02	65	0	8.221005e-01	5.334258e+01	281	happy	happy_17.png
DEV	1	50	2	0	4.352353e+02	68	0	6.829480e-01	4.668828e+01	835	happy	happy_8.png
DEV	1	51	2	0	4.409480e+02	79	0	5.692594e-01	4.519442e+01	1378	happy	happy_21.png
DEV	1	52	2	0	4.484402e+02	76	76	4.500154e-01	3.397683e+01	2136	happy	happy_4.png
DEV	1	53	2	0	4.546590e+02	78	0	4.193753e-01	3.286058e+01	2389	happy	happy_7.png
DEV	1	54	2	0	4.605821e+02	69	0	7.983497e-01	5.488984e+01	370	happy	happy_10.png
DEV	1	55	2	0	4.667124e+02	71	71	6.437067e-01	4.598801e+01	1010	happy	happy_14.png
DEV	1	56	2	0	4.734657e+02	72	72	5.927119e-01	4.254875e+01	1256	happy	happy_16.png
DEV	1	57	2	0	4.798594e+02	80	0	5.770047e-01	4.627135e+01	1337	happy	happy_6.png
DEV	1	58	2	0	4.864355e+02	79	79	4.544493e-01	3.607459e+01	2102	happy	happy_12.png
DEV	1	59	2	0	4.935530e+02	84	0	4.199427e-01	3.541790e+01	2384	happy	happy_15.png
DEV	1	60	2	0	4.995460e+02	70	70	7.559098e-01	5.304987e+01	534	happy	happy_20.png
DEV	1	61	2	0	5.051081e+02	68	68	8.245288e-01	5.589774e+01	272	happy	happy_3.png
DEV	1	62	2	0	5.113708e+02	69	69	7.213877e-01	4.995432e+01	673	happy	happy_19.png
DEV	1	63	2	0	5.181832e+02	72	72	6.095695e-01	4.410091e+01	1172	happy	happy_18.png
DEV	1	64	2	0	5.257389e+02	78	78	4.604395e-01	3.601511e+01	2057	happy	happy_2.png
DEV	1	65	2	0	5.321138e+02	86	0	3.512991e-01	3.035730e+01	3095	happy	happy_17.png
DEV	1	66	2	0	5.380862e+02	71	71	7.673765e-01	5.433692e+01	489	happy	happy_7.png
DEV	1	67	2	0	5.453369e+02	77	0	4.617898e-01	3.564216e+01	2047	happy	happy_3.png
DEV	1	68	2	0	5.518478e+02	70	70	7.475897e-01	5.266326e+01	567	happy	happy_18.png
DEV	1	69	2	0	5.587558e+02	87	0	3.147150e-01	2.724274e+01	3557	happy	happy_10.png
DEV	1	70	2	0	5.646359e+02	69	69	7.187153e-01	4.982661e+01	684	happy	happy_20.png
DEV	1	71	2	0	5.709132e+02	65	65	8.172582e-01	5.317698e+01	299	happy	happy_19.png
DEV	1	72	2	0	5.771703e+02	76	0	7.250462e-01	5.520334e+01	658	happy	happy_11.png
DEV	1	73	2	0	5.828074e+02	73	73	7.348822e-01	5.352787e+01	618	happy	happy_16.png
DEV	1	74	2	0	5.896713e+02	71	71	6.753638e-01	4.766418e+01	868	happy	happy_13.png
DEV	1	75	2	0	5.964979e+02	78	78	6.048963e-01	4.746605e+01	1195	happy	happy_5.png
DEV	1	76	2	0	6.028644e+02	71	71	5.889791e-01	4.174875e+01	1275	happy	happy_15.png
DEV	1	77	2	0	6.093441e+02	78	0	5.480908e-01	4.271535e+01	1494	happy	happy_12.png
DEV	1	78	2	0	6.165379e+02	80	80	4.518316e-01	3.635076e+01	2122	happy	happy_1.png
DEV	1	79	2	0	6.240401e+02	81	81	4.023750e-01	3.253150e+01	2545	happy	happy_8.png
DEV	1	80	2	0	6.314726e+02	84	84	3.766565e-01	3.149688e+01	2806	happy	happy_21.png
DEV	1	81	2	0	6.394108e+02	84	84	3.578820e-01	3.013607e+01	3017	happy	happy_9.png
DEV	1	82	2	0	6.460743e+02	78	0	4.590962e-01	3.592666e+01	2067	happy	happy_4.png
DEV	1	83	2	0	6.537221e+02	87	87	3.088832e-01	2.679258e+01	3633	happy	happy_14.png
DEV	1	84	2	0	6.611247e+02	86	0	3.642053e-01	3.132470e+01	2944	happy	happy_6.png
IEV	1	85	3	0	7.501364e+02	34	34	8.059003e-01	2.739544e+01	1661	fear	fear_4.png
IEV	1	86	3	0	7.559441e+02	31	31	8.185419e-01	2.531044e+01	1553	fear	fear_12.png
IEV	1	87	3	0	7.627676e+02	37	37	7.903808e-01	2.887026e+01	1784	fear	fear_17.png
IEV	1	88	3	0	7.699598e+02	43	0	7.718700e-01	3.284735e+01	1920	fear	fear_5.png
IEV	1	89	3	0	7.763857e+02	20	20	8.896289e-01	1.786903e+01	589	fear	fear_13.png
IEV	1	90	3	0	7.821786e+02	28	28	8.595505e-01	2.403451e+01	1122	fear	fear_19.png
IEV	1	91	3	0	7.876409e+02	19	0	8.869538e-01	1.656274e+01	658	fear	fear_8.png
IEV	1	92	3	0	7.947165e+02	31	31	8.456489e-01	2.654283e+01	1287	fear	fear_11.png
IEV	1	93	3	0	8.009575e+02	34	34	8.110451e-01	2.769872e+01	1618	fear	fear_14.png
IEV	1	94	3	0	8.078813e+02	49	49	6.990865e-01	3.419056e+01	2383	fear	fear_16.png
IEV	1	95	3	0	8.137614e+02	28	28	8.448264e-01	2.325653e+01	1296	fear	fear_2.png
IEV	1	96	3	0	8.208746e+02	61	61	6.677622e-01	4.047163e+01	2560	fear	fear_9.png
IEV	1	97	3	0	8.274691e+02	16	16	8.918715e-01	1.389116e+01	523	fear	fear_18.png
IEV	1	98	3	0	8.338558e+02	53	53	6.773201e-01	3.578719e+01	2507	fear	fear_1.png
IEV	1	99	3	0	8.405000e+02	19	0	8.791839e-01	1.695265e+01	822	fear	fear_3.png
IEV	1	100	3	0	8.481830e+02	78	78	5.636055e-01	4.418639e+01	3099	fear	fear_20.png
IEV	1	101	3	0	8.545396e+02	38	0	8.077117e-01	3.044866e+01	1646	fear	fear_21.png
IEV	1	102	3	0	8.610219e+02	43	43	7.457492e-01	3.197942e+01	2097	fear	fear_6.png
IEV	1	103	3	0	8.684778e+02	96	96	4.925778e-01	4.732607e+01	3444	fear	fear_7.png
IEV	1	104	3	0	8.757415e+02	55	55	6.858473e-01	3.791406e+01	2459	fear	fear_15.png
IEV	1	105	3	0	8.810211e+02	21	21	8.855957e-01	1.856609e+01	690	fear	fear_10.png
IEV	1	106	3	0	8.881313e+02	18	18	8.827964e-01	1.549314e+01	751	fear	fear_16.png
IEV	1	107	3	0	8.960218e+02	78	78	5.609712e-01	4.376991e+01	3112	fear	fear_3.png
IEV	1	108	3	0	9.027457e+02	57	57	6.644833e-01	3.802346e+01	2578	fear	fear_19.png
IEV	1	109	3	0	9.101279e+02	45	45	7.141604e-01	3.232460e+01	2294	fear	fear_1.png
IEV	1	110	3	0	9.160919e+02	23	23	8.869951e-01	2.010359e+01	657	fear	fear_20.png
IEV	1	111	3	0	9.231031e+02	29	29	8.599370e-01	2.484590e+01	1117	fear	fear_13.png
IEV	1	112	3	0	9.305427e+02	75	75	5.825185e-01	4.370840e+01	3005	fear	fear_15.png
IEV	1	113	3	0	9.372332e+02	68	68	6.015587e-01	4.081302e+01	2909	fear	fear_5.png
IEV	1	114	3	0	9.439900e+02	47	47	7.545535e-01	3.577657e+01	2039	fear	fear_7.png
IEV	1	115	3	0	9.519151e+02	65	65	6.272063e-01	4.107858e+01	2777	fear	fear_6.png
