#Subj:	10644
#Run:	1
#Age:	14
#Gender:	female
#22-Apr-2013
Func	Run	Trial	Block	Null	trialStartTime	Mag	ScoreInc	Freq	EV	RT	Emotion	Image
CEV	   1	   1	   1	   0	1.266317e+02	  58	   0	6.591429e-01	3.831829e+01	1686	fear	fear_10.png	
CEV	   1	   2	   1	   0	1.331903e+02	  49	  49	7.810000e-01	3.856200e+01	 833	fear	fear_4.png	
CEV	   1	   3	   1	   0	1.387236e+02	  47	  47	8.151429e-01	3.863029e+01	 594	fear	fear_8.png	
CEV	   1	   4	   1	   0	1.452421e+02	  51	  51	7.562857e-01	3.851257e+01	1006	fear	fear_21.png	
CEV	   1	   5	   1	   0	1.522894e+02	  52	  52	6.911429e-01	3.561771e+01	1462	fear	fear_1.png	
CEV	   1	   6	   1	   0	1.588256e+02	  57	   0	6.084286e-01	3.456629e+01	2041	fear	fear_6.png	
CEV	   1	   7	   1	   0	1.654148e+02	  71	  71	5.360000e-01	3.807200e+01	2548	fear	fear_9.png	
CEV	   1	   8	   1	   0	1.726721e+02	  81	  81	4.880000e-01	3.944000e+01	2884	fear	fear_11.png	
CEV	   1	   9	   1	   0	1.796182e+02	  83	  83	4.415714e-01	3.655843e+01	3209	fear	fear_12.png	
CEV	   1	  10	   1	   0	1.850906e+02	  46	  46	8.552857e-01	3.956586e+01	 313	fear	fear_17.png	
CEV	   1	  11	   1	   0	1.908213e+02	  42	  42	8.155714e-01	3.455329e+01	 591	fear	fear_15.png	
CEV	   1	  12	   1	   0	1.981521e+02	  89	   0	4.102857e-01	3.658971e+01	3428	fear	fear_14.png	
CEV	   1	  13	   1	   0	2.043897e+02	  48	  48	8.082857e-01	3.861657e+01	 642	fear	fear_5.png	
CEV	   1	  14	   1	   0	2.100622e+02	  46	  46	7.712857e-01	3.545743e+01	 901	fear	fear_7.png	
CEV	   1	  15	   1	   0	2.161639e+02	  47	  47	8.232857e-01	3.864657e+01	 537	fear	fear_16.png	
CEV	   1	  16	   1	   0	2.226750e+02	  43	  43	7.874286e-01	3.385029e+01	 788	fear	fear_18.png	
CEV	   1	  17	   1	   0	2.292134e+02	  83	  83	4.732857e-01	3.936643e+01	2987	fear	fear_13.png	
CEV	   1	  18	   1	   0	2.365579e+02	  80	  80	4.675714e-01	3.746757e+01	3027	fear	fear_20.png	
CEV	   1	  19	   1	   0	2.441004e+02	  78	  78	4.958571e-01	3.848757e+01	2829	fear	fear_19.png	
CEV	   1	  20	   1	   0	2.497477e+02	  44	  44	8.347143e-01	  37	 457	fear	fear_3.png	
CEV	   1	  21	   1	   0	2.576117e+02	  80	   0	4.868571e-01	3.894743e+01	2892	fear	fear_2.png	
CEV	   1	  22	   1	   0	2.644286e+02	  45	  45	8.148571e-01	  37	 596	fear	fear_3.png	
CEV	   1	  23	   1	   0	2.713221e+02	  46	  46	7.388571e-01	3.404457e+01	1128	fear	fear_12.png	
CEV	   1	  24	   1	   0	2.790279e+02	  60	  60	6.465714e-01	3.893971e+01	1774	fear	fear_15.png	
CEV	   1	  25	   1	   0	2.850770e+02	  61	  61	6.395714e-01	3.891871e+01	1823	fear	fear_18.png	
CEV	   1	  26	   1	   0	2.918273e+02	  65	  65	6.052857e-01	3.942114e+01	2063	fear	fear_20.png	
CEV	   1	  27	   1	   0	2.985572e+02	  64	  64	5.540000e-01	3.533800e+01	2422	fear	fear_14.png	
CEV	   1	  28	   1	   0	3.055107e+02	  72	  72	5.187143e-01	3.751871e+01	2669	fear	fear_1.png	
CEV	   1	  29	   1	   0	3.123487e+02	  70	   0	5.232857e-01	3.647671e+01	2637	fear	fear_7.png	
CEV	   1	  30	   1	   0	3.181138e+02	  46	  46	8.298571e-01	3.782986e+01	 491	fear	fear_13.png	
CEV	   1	  31	   1	   0	3.245087e+02	  51	  51	7.930000e-01	4.017200e+01	 749	fear	fear_6.png	
CEV	   1	  32	   1	   0	3.307583e+02	  52	   0	7.488571e-01	3.924657e+01	1058	fear	fear_19.png	
CEV	   1	  33	   1	   0	3.375922e+02	 102	   0	3.585714e-01	3.664143e+01	3790	fear	fear_10.png	
CEV	   1	  34	   1	   0	3.443333e+02	  54	  54	6.370000e-01	3.445200e+01	1841	fear	fear_2.png	
CEV	   1	  35	   1	   0	3.509066e+02	  56	   0	6.564286e-01	3.700000e+01	1705	fear	fear_16.png	
CEV	   1	  36	   1	   0	3.583491e+02	  84	  84	4.652857e-01	3.886114e+01	3043	fear	fear_17.png	
CEV	   1	  37	   1	   0	3.656011e+02	  81	   0	4.625714e-01	3.746257e+01	3062	fear	fear_9.png	
CEV	   1	  38	   1	   0	3.726222e+02	  45	  45	7.332857e-01	3.333357e+01	1167	fear	fear_4.png	
CEV	   1	  39	   1	   0	3.800881e+02	  78	   0	4.587143e-01	3.562386e+01	3089	fear	fear_21.png	
CEV	   1	  40	   1	   0	3.872317e+02	  68	   0	5.274286e-01	3.594514e+01	2608	fear	fear_8.png	
CEV	   1	  41	   1	   0	3.940708e+02	  43	  43	8.095714e-01	3.457129e+01	 633	fear	fear_11.png	
CEV	   1	  42	   1	   0	4.010517e+02	  43	  43	8.260000e-01	3.534800e+01	 518	fear	fear_5.png	
DEV	   1	  43	   2	   0	4.745505e+02	  74	   0	7.250462e-01	5.375324e+01	 658	happy	happy_2.png	
DEV	   1	  44	   2	   0	4.809957e+02	  75	  75	6.361512e-01	4.748557e+01	1045	happy	happy_5.png	
DEV	   1	  45	   2	   0	4.874795e+02	  73	   0	5.800647e-01	4.241054e+01	1321	happy	happy_9.png	
DEV	   1	  46	   2	   0	4.940567e+02	  71	   0	6.739939e-01	4.759324e+01	 874	happy	happy_1.png	
DEV	   1	  47	   2	   0	5.006319e+02	  77	   0	5.463172e-01	4.205566e+01	1504	happy	happy_11.png	
DEV	   1	  48	   2	   0	5.073567e+02	  75	  75	4.678148e-01	3.509602e+01	2003	happy	happy_13.png	
DEV	   1	  49	   2	   0	5.139732e+02	  75	   0	4.701795e-01	3.524376e+01	1986	happy	happy_17.png	
DEV	   1	  50	   2	   0	5.202910e+02	  75	   0	4.193753e-01	3.160246e+01	2389	happy	happy_8.png	
DEV	   1	  51	   2	   0	5.265947e+02	  84	   0	4.008092e-01	3.362582e+01	2560	happy	happy_21.png	
DEV	   1	  52	   2	   0	5.344931e+02	  78	   0	3.638544e-01	2.838768e+01	2948	happy	happy_4.png	
DEV	   1	  53	   2	   0	5.411714e+02	  81	   0	3.339699e-01	2.703919e+01	3309	happy	happy_7.png	
DEV	   1	  54	   2	   0	5.487678e+02	  83	   0	3.004283e-01	2.493280e+01	3743	happy	happy_10.png	
DEV	   1	  55	   2	   0	5.546279e+02	  68	  68	7.720017e-01	5.223065e+01	 471	happy	happy_14.png	
DEV	   1	  56	   2	   0	5.609947e+02	  67	  67	7.686591e-01	5.132071e+01	 484	happy	happy_16.png	
DEV	   1	  57	   2	   0	5.669603e+02	  75	  75	7.691726e-01	5.749537e+01	 482	happy	happy_6.png	
DEV	   1	  58	   2	   0	5.728617e+02	  73	  73	7.023947e-01	5.113923e+01	 752	happy	happy_12.png	
DEV	   1	  59	   2	   0	5.791824e+02	  77	  77	6.931914e-01	5.342567e+01	 791	happy	happy_15.png	
DEV	   1	  60	   2	   0	5.852452e+02	  71	  71	7.299497e-01	5.181863e+01	 638	happy	happy_20.png	
DEV	   1	  61	   2	   0	5.910915e+02	  72	  72	6.815628e-01	4.934642e+01	 841	happy	happy_3.png	
DEV	   1	  62	   2	   0	5.972791e+02	  68	  68	7.645608e-01	5.191426e+01	 500	happy	happy_19.png	
DEV	   1	  63	   2	   0	6.038858e+02	  70	  70	7.002606e-01	4.892634e+01	 761	happy	happy_18.png	
DEV	   1	  64	   2	   0	6.108697e+02	  73	  73	6.656090e-01	4.848702e+01	 911	happy	happy_2.png	
DEV	   1	  65	   2	   0	6.160862e+02	  77	   0	6.960109e-01	5.358672e+01	 779	happy	happy_17.png	
DEV	   1	  66	   2	   0	6.222371e+02	  73	  73	6.801803e-01	4.995294e+01	 847	happy	happy_7.png	
DEV	   1	  67	   2	   0	6.289573e+02	  72	   0	6.491638e-01	4.693143e+01	 985	happy	happy_3.png	
