#Subj:	11046
#Run:	1
#Age:	15
#Gender:	female
#28-Mar-2013
Func	Run	Trial	Block	Null	trialStartTime	Mag	ScoreInc	Freq	EV	RT	Emotion	Image
CEV	   1	   1	   1	   0	7.228181e+01	  60	   0	6.328571e-01	3.826571e+01	1870	fear	fear_10.png	
CEV	   1	   2	   1	   0	7.885287e+01	  49	  49	7.871429e-01	3.857429e+01	 790	fear	fear_4.png	
CEV	   1	   3	   1	   0	8.442566e+01	  48	  48	8.024286e-01	3.860486e+01	 683	fear	fear_8.png	
CEV	   1	   4	   1	   0	9.197595e+01	  82	  82	4.617143e-01	3.792343e+01	3068	fear	fear_21.png	
CEV	   1	   5	   1	   0	9.977619e+01	  76	  76	4.760000e-01	3.604800e+01	2968	fear	fear_1.png	
CEV	   1	   6	   1	   0	1.070151e+02	  85	   0	4.135714e-01	3.534571e+01	3405	fear	fear_6.png	
CEV	   1	   7	   1	   0	1.135874e+02	  70	  70	5.407143e-01	3.808143e+01	2515	fear	fear_9.png	
CEV	   1	   8	   1	   0	1.195538e+02	  48	  48	8.568571e-01	4.128429e+01	 302	fear	fear_11.png	
CEV	   1	   9	   1	   0	1.264459e+02	  80	  80	4.550000e-01	3.654500e+01	3115	fear	fear_12.png	
CEV	   1	  10	   1	   0	1.332612e+02	  81	   0	4.714286e-01	3.841429e+01	3000	fear	fear_17.png	
CEV	   1	  11	   1	   0	1.403249e+02	  83	   0	4.294286e-01	3.571171e+01	3294	fear	fear_15.png	
CEV	   1	  12	   1	   0	1.474149e+02	  76	   0	4.790000e-01	3.652100e+01	2947	fear	fear_14.png	
CEV	   1	  13	   1	   0	1.536105e+02	  47	  47	8.201429e-01	3.864029e+01	 559	fear	fear_5.png	
CEV	   1	  14	   1	   0	1.593668e+02	  48	  48	7.464286e-01	3.550714e+01	1075	fear	fear_7.png	
CEV	   1	  15	   1	   0	1.655982e+02	  49	  49	7.815714e-01	3.856314e+01	 829	fear	fear_16.png	
CEV	   1	  16	   1	   0	1.724423e+02	  49	  49	6.921429e-01	3.423143e+01	1455	fear	fear_18.png	
