#Subj:	11165
#Run:	1
#Age:	23
#Gender:	female
#06-Aug-2013
Func	Run	Trial	Block	Null	trialStartTime	Mag	ScoreInc	Freq	EV	RT	Emotion	Image
DEV	1	60	11	0	6.074836e+02	72	72	6.829480e-01	4.942007e+01	835	fear	fear_3.png
DEV	1	61	11	0	6.131980e+02	72	72	6.962463e-01	5.011891e+01	778	fear	fear_14.png
DEV	1	62	11	0	6.192062e+02	70	70	7.000239e-01	4.891459e+01	762	fear	fear_19.png
DEV	1	63	11	0	6.260462e+02	70	70	6.845677e-01	4.813685e+01	828	fear	fear_5.png
DEV	1	64	11	0	6.320676e+02	72	72	6.936606e-01	4.998421e+01	789	fear	fear_3.png
DEV	1	65	11	0	6.384487e+02	78	0	6.665102e-01	5.186866e+01	907	fear	fear_1.png
DEV	1	66	11	0	6.455415e+02	73	73	7.073979e-01	5.140045e+01	731	fear	fear_19.png
DEV	1	67	11	0	6.523501e+02	71	0	6.997872e-01	4.960263e+01	763	fear	fear_7.png
DEV	1	68	11	0	6.591069e+02	71	71	7.248018e-01	5.156605e+01	659	fear	fear_9.png
DEV	1	69	11	0	6.652051e+02	72	72	8.060354e-01	5.842094e+01	341	fear	fear_16.png
DEV	1	70	11	0	6.719468e+02	65	65	8.364685e-01	5.464675e+01	228	fear	fear_4.png
DEV	1	71	11	0	6.769851e+02	66	66	7.849624e-01	5.198002e+01	421	fear	fear_10.png
DEV	1	72	11	0	6.822447e+02	75	0	7.740643e-01	5.773558e+01	463	fear	fear_21.png
DEV	1	73	11	0	6.882746e+02	74	74	6.901495e-01	5.118068e+01	804	fear	fear_17.png
DEV	1	74	11	0	6.940152e+02	69	69	7.336464e-01	5.053105e+01	623	fear	fear_5.png
DEV	1	75	11	0	7.006801e+02	75	75	7.216311e-01	5.429570e+01	672	fear	fear_6.png
DEV	1	76	11	0	7.079324e+02	67	67	7.277395e-01	4.879956e+01	647	fear	fear_12.png
DEV	1	77	11	0	7.134023e+02	73	0	7.192005e-01	5.272665e+01	682	fear	fear_20.png
DEV	1	78	11	0	7.194882e+02	72	72	7.614984e-01	5.482809e+01	512	fear	fear_8.png
DEV	1	79	11	0	7.260983e+02	71	71	7.490968e-01	5.348297e+01	561	fear	fear_11.png
DEV	1	80	11	0	7.313711e+02	73	73	7.681458e-01	5.590828e+01	486	fear	fear_18.png
DEV	1	81	11	0	7.375002e+02	72	72	7.907169e-01	5.694866e+01	399	fear	fear_2.png
DEV	1	82	11	0	7.437230e+02	71	71	7.428339e-01	5.243882e+01	586	fear	fear_13.png
DEV	1	83	11	0	7.492191e+02	72	72	8.084312e-01	5.852439e+01	332	fear	fear_14.png
DEV	1	84	11	0	7.554695e+02	74	74	7.802776e-01	5.803631e+01	439	fear	fear_15.png
IEV	1	85	10	0	8.311388e+02	41	41	7.657308e-01	3.106211e+01	1963	happy	happy_19.png
IEV	1	86	10	0	8.376812e+02	32	32	8.106909e-01	2.611226e+01	1621	happy	happy_18.png
IEV	1	87	10	0	8.439555e+02	44	44	7.474369e-01	3.258822e+01	2086	happy	happy_12.png
IEV	1	88	10	0	8.520056e+02	57	0	6.897134e-01	3.902567e+01	2437	happy	happy_14.png
IEV	1	89	10	0	8.586775e+02	44	44	7.485065e-01	3.324961e+01	2079	happy	happy_17.png
IEV	1	90	10	0	8.650995e+02	49	49	7.329095e-01	3.594603e+01	2179	happy	happy_5.png
IEV	1	91	10	0	8.719800e+02	48	0	7.133263e-01	3.453019e+01	2299	happy	happy_8.png
IEV	1	92	10	0	8.789332e+02	46	46	7.545535e-01	3.502202e+01	2039	happy	happy_13.png
IEV	1	93	10	0	8.861779e+02	43	43	7.564946e-01	3.259889e+01	2026	happy	happy_6.png
IEV	1	94	10	0	8.932659e+02	41	41	7.438986e-01	3.064293e+01	2109	happy	happy_15.png
IEV	1	95	10	0	8.993651e+02	17	17	8.967116e-01	1.560611e+01	332	happy	happy_2.png
IEV	1	96	10	0	9.057838e+02	26	26	8.703298e-01	2.262179e+01	971	happy	happy_7.png
IEV	1	97	10	0	9.125908e+02	42	42	7.376593e-01	3.116019e+01	2149	happy	happy_4.png
IEV	1	98	10	0	9.199411e+02	45	45	7.238851e-01	3.227416e+01	2235	happy	happy_10.png
