#Subj:	10911
#Run:	1
#Age:	16
#Gender:	female
#09-Apr-2013
Func	Run	Trial	Block	Null	trialStartTime	Mag	ScoreInc	Freq	EV	RT	Emotion	Image
CEV	   1	   1	  12	   0	1.241623e+02	  62	   0	6.208571e-01	3.824171e+01	1954	scram	scram_16.png	
CEV	   1	   2	  12	   0	1.303293e+02	  45	  45	8.565714e-01	3.871314e+01	 304	scram	scram_8.png	
CEV	   1	   3	  12	   0	1.368479e+02	  47	  47	8.178571e-01	3.863571e+01	 575	scram	scram_15.png	
CEV	   1	   4	  12	   0	1.424667e+02	  50	  50	7.655714e-01	3.853114e+01	 941	scram	scram_12.png	
CEV	   1	   5	  12	   0	1.496354e+02	  49	  49	7.235714e-01	3.555286e+01	1235	scram	scram_3.png	
CEV	   1	   6	  12	   0	1.570415e+02	  74	   0	4.748571e-01	3.510057e+01	2976	scram	scram_2.png	
CEV	   1	   7	  12	   0	1.633198e+02	  50	  50	7.688571e-01	3.853771e+01	 918	scram	scram_5.png	
CEV	   1	   8	  12	   0	1.697164e+02	  54	  54	7.625714e-01	4.081286e+01	 962	scram	scram_18.png	
CEV	   1	   9	  12	   0	1.756992e+02	  47	  47	7.722857e-01	3.622771e+01	 894	scram	scram_7.png	
CEV	   1	  10	  12	   0	1.822559e+02	  52	   0	7.512857e-01	3.925386e+01	1041	scram	scram_21.png	
CEV	   1	  11	  12	   0	1.898631e+02	  57	  57	6.171429e-01	3.514857e+01	1980	scram	scram_6.png	
CEV	   1	  12	  12	   0	1.966627e+02	  61	   0	5.960000e-01	3.640400e+01	2128	scram	scram_19.png	
CEV	   1	  13	  12	   0	2.034169e+02	  58	   0	6.662857e-01	3.833257e+01	1636	scram	scram_9.png	
CEV	   1	  14	  12	   0	2.102708e+02	  56	   0	6.375714e-01	3.572486e+01	1837	scram	scram_20.png	
CEV	   1	  15	  12	   0	2.171971e+02	  80	  80	4.741429e-01	3.794829e+01	2981	scram	scram_17.png	
CEV	   1	  16	  12	   0	2.247633e+02	  76	   0	4.627143e-01	3.514914e+01	3061	scram	scram_11.png	
CEV	   1	  17	  12	   0	2.309273e+02	  76	  76	5.237143e-01	3.961857e+01	2634	scram	scram_14.png	
CEV	   1	  18	  12	   0	2.372398e+02	  70	  70	5.352857e-01	3.753529e+01	2553	scram	scram_10.png	
CEV	   1	  19	  12	   0	2.450215e+02	  89	  89	4.308571e-01	3.829257e+01	3284	scram	scram_13.png	
CEV	   1	  20	  12	   0	2.535209e+02	  94	   0	3.925714e-01	  37	3552	scram	scram_1.png	
CEV	   1	  21	  12	   0	2.608265e+02	  77	   0	5.055714e-01	3.902229e+01	2761	scram	scram_4.png	
CEV	   1	  22	  12	   0	2.672355e+02	  51	  51	7.325714e-01	3.700000e+01	1172	scram	scram_12.png	
CEV	   1	  23	  12	   0	2.740468e+02	  54	  54	6.365714e-01	3.445371e+01	1844	scram	scram_3.png	
CEV	   1	  24	  12	   0	2.810544e+02	  47	  47	8.491429e-01	3.954743e+01	 356	scram	scram_2.png	
CEV	   1	  25	  12	   0	2.875797e+02	  48	  48	8.167143e-01	3.945014e+01	 583	scram	scram_11.png	
CEV	   1	  26	  12	   0	2.939791e+02	  72	  72	5.408571e-01	3.916343e+01	2514	scram	scram_9.png	
CEV	   1	  27	  12	   0	3.009989e+02	  74	  74	4.774286e-01	3.556771e+01	2958	scram	scram_5.png	
CEV	   1	  28	  12	   0	3.090615e+02	  99	   0	3.768571e-01	3.737686e+01	3662	scram	scram_21.png	
CEV	   1	  29	  12	   0	3.161265e+02	  72	   0	5.037143e-01	3.649629e+01	2774	scram	scram_20.png	
CEV	   1	  30	  12	   0	3.226843e+02	  45	  45	8.438571e-01	3.784386e+01	 393	scram	scram_19.png	
CEV	   1	  31	  12	   0	3.295453e+02	  54	  54	7.452857e-01	3.998114e+01	1083	scram	scram_10.png	
CEV	   1	  32	  12	   0	3.357929e+02	  60	   0	6.524286e-01	3.895729e+01	1733	scram	scram_8.png	
CEV	   1	  33	  12	   0	3.418253e+02	  61	  61	5.960000e-01	3.640400e+01	2128	scram	scram_6.png	
CEV	   1	  34	  12	   0	3.485527e+02	  67	  67	5.237143e-01	3.490514e+01	2634	scram	scram_14.png	
CEV	   1	  35	  12	   0	3.554390e+02	  68	   0	5.457143e-01	  37	2480	scram	scram_15.png	
CEV	   1	  36	  12	   0	3.612567e+02	  50	  50	7.997143e-01	4.019886e+01	 702	scram	scram_7.png	
CEV	   1	  37	  12	   0	3.679536e+02	  52	  52	7.224286e-01	3.772243e+01	1243	scram	scram_4.png	
